,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ALPHA,param_ETA,param_LAMBDA,param_epochs,param_hiddenUnits,param_randomSeed,param_weightInitialization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.12062295277913411,0.033141232601020774,0.0007189909617106119,0.0001262205661642636,0.4,0.1,0.1,100,4,0,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.0
1,0.06519945462544759,0.014681701607485045,0.0006233056386311849,3.136772731230095e-05,0.4,0.1,0.1,100,4,0,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.8648648648648649,0.7567567567567568,0.8378378378378378,0.8198198198198198,0.04593711273507013,83,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.0
2,0.06998292605082194,0.003580619574075007,0.00045291582743326825,2.342845885650228e-05,0.4,0.1,0.1,100,4,0,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8783783783783784,0.8513513513513513,0.8648648648648649,0.01103373758010443
3,0.06655629475911458,0.010360056485568708,0.00040149688720703125,7.740738128712499e-05,0.4,0.1,0.1,100,4,5,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.0
4,0.06878439585367839,0.01013838541748209,0.00041596094767252606,9.767140092558877e-05,0.4,0.1,0.1,100,4,5,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.8378378378378378,0.7027027027027027,0.8378378378378378,0.7927927927927928,0.06370331362040967,331,0.8648648648648649,0.9054054054054054,0.8648648648648649,0.8783783783783784,0.01911099408612287
5,0.06855996449788411,0.014724777423086702,0.0004196961720784505,9.38724187720952e-05,0.4,0.1,0.1,100,4,5,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8513513513513513,0.8648648648648649,0.8603603603603603,0.006370331362041008
6,0.06868942578633626,0.009094829344214503,0.00043280919392903644,6.637473139123745e-05,0.4,0.1,0.1,100,4,10,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8918918918918919,0.8513513513513513,0.8693693693693693,0.016854312553035777
7,0.07915949821472168,0.004482453334864718,0.0004974206288655599,1.7353131399918718e-05,0.4,0.1,0.1,100,4,10,type1,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.0
8,0.06927657127380371,0.0005069189796655203,0.0004016558329264323,5.662138691007516e-05,0.4,0.1,0.1,100,4,10,type2,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.8108108108108109,0.7567567567567568,0.8378378378378378,0.8018018018018018,0.033708625106071526,209,0.8648648648648649,0.8648648648648649,0.8513513513513513,0.8603603603603603,0.006370331362041008
9,0.0704344908396403,0.0033797523518702996,0.0004486242930094401,1.6151966717071728e-05,0.4,0.1,0.1,100,4,20,xav,"{'ALPHA': 0.4, 'ETA': 0.1, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 4, 'randomSeed': 20, 'weightInitialization': 'xav'}",0.8108108108108109,0.7837837837837838,0.8378378378378378,0.8108108108108109,0.02206747516020881,114,0.8648648648648649,0.8918918918918919,0.8513513513513513,0.8693693693693693,0.016854312553035777
