{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 9.542925267230304, 'meanValidationLoss': 9.6763516385558788, 'meanLosses': 9.6096384528930905}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 11.164589959588683, 'meanValidationLoss': 11.315521474591725, 'meanLosses': 11.240055717090204}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 9.6399548240246293, 'meanValidationLoss': 9.7758244051253254, 'meanLosses': 9.7078896145749773}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 9.7102083653684446, 'meanValidationLoss': 9.8035008609013179, 'meanLosses': 9.7568546131348803}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 8.0027731647581231, 'meanValidationLoss': 8.0720643047405822, 'meanLosses': 8.0374187347493518}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 9.6460707058314838, 'meanValidationLoss': 9.7384617416779129, 'meanLosses': 9.6922662237546984}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 7.9747076186890711, 'meanValidationLoss': 8.0436327956897493, 'meanLosses': 8.0091702071894098}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 9.8547308996400069, 'meanValidationLoss': 9.9529255627985869, 'meanLosses': 9.9038282312192969}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.5, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 8.0699264136478561, 'meanValidationLoss': 8.1413202646208145, 'meanLosses': 8.1056233391343362}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 8.5747885405092799, 'meanValidationLoss': 8.6187069686042204, 'meanLosses': 8.5967477545567501}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 6.9271652248854423, 'meanValidationLoss': 6.9581306692628981, 'meanLosses': 6.9426479470741702}
